,level_means
0,8.625
1,7.5
2,4.2
3,4.285714285714286
4,4.875
5,3.2
6,6.9411764705882355
7,4.352941176470588
8,4.888888888888889
9,5.166666666666667
10,5.117647058823529
11,4.0588235294117645
12,4.1875
13,3.5555555555555554
14,4.1875
15,4.0
16,3.875
17,3.823529411764706
18,2.9411764705882355
19,3.7058823529411766
20,4.1875
21,4.75
22,3.6470588235294117
23,4.117647058823529
24,4.411764705882353
25,5.588235294117647
26,4.315789473684211
27,4.111111111111111
28,4.473684210526316
29,10.1875
30,3.588235294117647
31,5.105263157894737
32,4.368421052631579
33,6.277777777777778
34,6.9411764705882355
35,4.277777777777778
36,3.411764705882353
37,3.6666666666666665
38,5.684210526315789
39,6.588235294117647
40,5.157894736842105
41,4.25
42,3.736842105263158
43,6.368421052631579
44,4.105263157894737
45,6.117647058823529
46,3.736842105263158
47,3.8947368421052633
48,3.4210526315789473
49,3.263157894736842
50,2.7777777777777777
51,4.947368421052632
52,4.777777777777778
53,3.2222222222222223
54,4.333333333333333
55,3.5789473684210527
56,4.444444444444445
57,5.0
58,4.105263157894737
59,4.277777777777778
60,3.263157894736842
61,4.315789473684211
62,4.368421052631579
63,5.05
64,4.0
65,5.842105263157895
66,3.823529411764706
67,4.944444444444445
68,3.9444444444444446
69,5.2105263157894735
70,4.388888888888889
71,3.473684210526316
72,6.2631578947368425
73,3.5789473684210527
74,3.7058823529411766
75,4.2105263157894735
76,4.944444444444445
77,3.9444444444444446
78,3.45
79,4.05
80,4.842105263157895
81,4.666666666666667
82,6.222222222222222
83,6.705882352941177
84,5.55
85,4.0588235294117645
86,3.1176470588235294
87,6.117647058823529
88,4.611111111111111
89,4.2631578947368425
90,3.8333333333333335
91,3.8333333333333335
92,5.0
93,4.375
94,4.684210526315789
95,5.133333333333334
96,4.0
97,4.588235294117647
98,3.4444444444444446
99,3.8421052631578947
