,steps,self_finding_steps,participant,level
0,2786,,0,0
1,50,,0,1
2,15,,0,2
3,22,,0,3
4,15,,0,4
5,13,,0,5
6,29,0.0,0,6
7,36,,0,7
8,67,0.0,0,8
9,11,0.0,0,9
10,434,,0,10
11,27,,0,11
12,19,,0,12
13,491,,0,13
14,155,,0,14
15,48,,0,15
16,18,,0,16
17,29,0.0,0,17
18,29,,0,18
19,158,,0,19
20,41,,0,20
21,13,0.0,0,21
22,65,,0,22
23,108,,0,23
24,68,,0,24
25,34,,0,25
26,44,,0,26
27,83,1.0,0,27
28,313,,0,28
29,25,,0,29
30,34,,0,30
31,15,0.0,0,31
32,41,,0,32
33,9,0.0,0,33
34,101,,0,34
35,11,,0,35
36,40,0.0,0,36
37,59,,0,37
38,45,,0,38
39,9,,0,39
40,86,,0,40
41,23,,0,41
42,76,,0,42
43,28,,0,43
44,36,,0,44
45,86,,0,45
46,48,,0,46
47,56,,0,47
48,22,,0,48
49,13,,0,49
50,62,,0,50
51,21,,0,51
52,13,,0,52
53,43,,0,53
54,15,,0,54
55,9,,0,55
56,13,,0,56
57,23,,0,57
58,73,,0,58
59,9,,0,59
60,19,,0,60
61,31,,0,61
62,15,,0,62
63,17,,0,63
64,47,,0,64
65,37,,0,65
66,15,,0,66
67,19,,0,67
68,23,,0,68
69,15,0.0,0,69
70,51,,0,70
71,136,,0,71
72,25,,0,72
73,7,,0,73
74,7,,0,74
75,52,,0,75
76,24,,0,76
77,38,,0,77
78,46,,0,78
79,13,,0,79
80,21,,0,80
81,11,,0,81
82,15,,0,82
83,92,,0,83
84,77,,0,84
85,38,,0,85
86,23,,0,86
87,21,,0,87
88,9,,0,88
89,33,,0,89
90,19,,0,90
91,31,,0,91
92,63,,0,92
93,36,,0,93
94,48,,0,94
95,7,,0,95
96,25,,0,96
97,16,,0,97
98,19,,0,98
99,19,,0,99
100,38,,1,0
101,1624,,1,1
102,19,11.0,1,2
103,45,18.0,1,3
104,17,12.0,1,4
105,20,12.0,1,5
106,9,8.0,1,6
107,19,14.0,1,7
108,11,7.0,1,8
109,20,19.0,1,9
110,21,15.0,1,10
111,17,16.0,1,11
112,9,7.0,1,12
113,48,14.0,1,13
114,11,8.0,1,14
115,24,15.0,1,15
116,27,23.0,1,16
117,7,6.0,1,17
118,15,13.0,1,18
119,15,12.0,1,19
120,11,8.0,1,20
121,27,21.0,1,21
122,23,18.0,1,22
123,17,15.0,1,23
124,19,15.0,1,24
125,7,5.0,1,25
126,17,14.0,1,26
127,29,24.0,1,27
128,17,11.0,1,28
129,17,14.0,1,29
130,7,6.0,1,30
131,17,14.0,1,31
132,25,20.0,1,32
133,43,,1,33
134,19,14.0,1,34
135,19,15.0,1,35
136,19,16.0,1,36
137,19,15.0,1,37
138,64,17.0,1,38
139,19,17.0,1,39
140,7,6.0,1,40
141,11,7.0,1,41
142,23,14.0,1,42
143,17,9.0,1,43
144,13,12.0,1,44
145,15,13.0,1,45
146,29,24.0,1,46
147,17,10.0,1,47
148,19,14.0,1,48
149,25,15.0,1,49
150,9,7.0,1,50
151,14,10.0,1,51
152,15,13.0,1,52
153,25,19.0,1,53
154,15,7.0,1,54
155,25,15.0,1,55
156,13,6.0,1,56
157,17,8.0,1,57
158,7,5.0,1,58
159,11,9.0,1,59
160,27,20.0,1,60
161,25,18.0,1,61
162,26,19.0,1,62
163,37,29.0,1,63
164,27,21.0,1,64
165,28,15.0,1,65
166,9,6.0,1,66
167,29,20.0,1,67
168,13,11.0,1,68
169,15,9.0,1,69
170,11,7.0,1,70
171,23,,1,71
172,7,6.0,1,72
173,11,9.0,1,73
174,17,15.0,1,74
175,21,18.0,1,75
176,13,10.0,1,76
177,19,14.0,1,77
178,17,12.0,1,78
179,15,13.0,1,79
180,11,8.0,1,80
