,steps,self_finding_steps,prop_selected_correctly,participant,level
0,14,7.0,0.3333333333333333,0,0
1,12,3.0,1.0,0,1
2,26,0.0,1.0,0,2
3,46,6.0,1.0,0,3
4,17,6.0,1.0,0,4
5,624,4.666666666666667,0.3333333333333333,0,5
6,73,5.0,1.0,0,6
7,122,6.0,1.0,0,7
8,58,6.0,1.0,0,8
9,70,0.0,1.0,0,9
10,268,7.0,0.0,0,10
11,2433,7.0,0.0,0,11
12,167,0.0,1.0,0,12
13,16,,,0,13
14,548,5.0,1.0,0,14
15,404,7.0,0.0,0,15
16,385,7.0,0.0,0,16
17,18,1.0,1.0,0,17
18,14,4.0,1.0,0,18
19,640,5.0,1.0,0,19
20,12,,,0,20
21,14,4.0,1.0,0,21
22,275,7.0,0.0,0,22
23,12,3.0,1.0,0,23
24,429,2.0,1.0,0,24
25,52,5.0,1.0,0,25
26,52,5.0,1.0,0,26
27,46,7.0,0.0,0,27
28,24,5.0,1.0,0,28
29,38,3.0,1.0,0,29
30,46,7.0,0.0,0,30
31,231,5.0,1.0,0,31
32,26,3.0,1.0,0,32
33,226,6.0,1.0,0,33
34,34,7.0,0.0,0,34
35,586,7.0,0.0,0,35
36,458,7.0,0.0,0,36
37,26,7.0,0.0,0,37
38,159,7.0,0.0,0,38
39,2773,7.0,0.0,0,39
40,1480,2.0,1.0,0,40
41,216,2.0,1.0,0,41
42,192,1.0,1.0,0,42
43,485,5.0,1.0,0,43
44,857,3.0,1.0,0,44
45,345,7.0,0.0,0,45
46,1174,7.0,0.0,0,46
47,851,5.0,1.0,0,47
48,115,7.0,0.0,0,48
49,23,0.0,1.0,0,49
50,67,4.0,1.0,0,50
51,75,7.0,0.0,0,51
52,616,3.0,1.0,0,52
53,56,5.142857142857143,0.8571428571428571,1,0
54,54,3.5714285714285716,1.0,1,1
55,112,4.3,0.9090909090909091,1,2
56,40,4.5,0.8,1,3
57,54,4.857142857142857,0.8571428571428571,1,4
58,41,4.5,0.8333333333333334,1,5
59,119,5.0,0.6666666666666666,1,6
60,14,5.0,1.0,1,7
61,77,3.0,0.8,1,8
62,104,4.333333333333333,1.0,1,9
63,84,4.142857142857143,0.875,1,10
64,18,6.0,0.5,1,11
65,18,0.0,1.0,1,12
66,26,4.0,1.0,1,13
67,135,4.666666666666667,0.5714285714285714,1,14
68,126,5.8,0.6,1,15
69,55,4.0,0.8,1,16
70,68,4.714285714285714,0.875,1,17
71,14,4.0,1.0,1,18
72,55,4.428571428571429,0.8571428571428571,1,19
73,63,5.0,0.75,1,20
74,40,5.5,0.8,1,21
75,14,4.0,1.0,1,22
76,20,4.5,1.0,1,23
77,14,5.0,1.0,1,24
78,42,5.0,1.0,1,25
79,19,3.0,1.0,1,26
80,38,3.75,0.75,1,27
81,40,6.5,0.5,1,28
82,68,4.333333333333333,0.6666666666666666,1,29
83,32,6.0,1.0,1,30
84,28,4.5,1.0,1,31
85,42,4.0,0.75,1,32
86,62,5.75,0.6,1,33
87,90,4.0,0.8,1,34
88,14,5.0,1.0,1,35
89,61,4.4,0.8333333333333334,1,36
90,105,4.428571428571429,0.5714285714285714,1,37
91,48,3.0,1.0,1,38
92,56,2.5,1.0,1,39
93,26,4.0,1.0,1,40
94,82,5.0,1.0,1,41
95,67,4.166666666666667,0.6666666666666666,1,42
96,48,5.25,1.0,1,43
97,46,4.666666666666667,1.0,1,44
98,20,5.0,1.0,1,45
99,18,5.0,1.0,1,46
100,20,5.5,1.0,1,47
101,56,5.75,0.75,1,48
102,87,4.5,1.0,1,49
103,82,4.666666666666667,1.0,1,50
104,63,3.6666666666666665,1.0,1,51
105,90,3.75,1.0,1,52
106,236,3.6666666666666665,0.6666666666666666,2,0
107,34,,,2,1
108,164,7.0,0.0,2,2
109,140,6.0,1.0,2,3
110,508,4.857142857142857,0.5714285714285714,2,4
111,104,7.0,0.0,2,5
112,61,,,2,6
113,72,5.0,1.0,2,7
114,316,6.166666666666667,0.2857142857142857,2,8
115,128,7.0,0.0,2,9
116,72,6.0,0.5,2,10
117,102,3.5,1.0,2,11
118,115,4.2,0.6,2,12
