,steps,self_finding_steps,participant,level
0,2787,,0,0
1,51,,0,1
2,16,,0,2
3,23,,0,3
4,16,,0,4
5,14,,0,5
6,30,0.0,0,6
7,37,,0,7
8,68,0.0,0,8
9,12,0.0,0,9
10,435,,0,10
11,28,,0,11
12,20,,0,12
13,492,,0,13
14,156,,0,14
15,49,,0,15
16,19,,0,16
17,30,0.0,0,17
18,30,,0,18
19,159,,0,19
20,42,,0,20
21,14,0.0,0,21
22,66,,0,22
23,109,,0,23
24,69,,0,24
25,35,,0,25
26,45,,0,26
27,84,1.0,0,27
28,314,,0,28
29,26,,0,29
30,35,,0,30
31,16,0.0,0,31
32,42,,0,32
33,10,0.0,0,33
34,102,,0,34
35,12,,0,35
36,41,0.0,0,36
37,60,,0,37
38,46,,0,38
39,10,,0,39
40,87,,0,40
41,24,,0,41
42,77,,0,42
43,29,,0,43
44,37,,0,44
45,87,,0,45
46,49,,0,46
47,57,,0,47
48,23,,0,48
49,14,,0,49
50,63,,0,50
51,22,,0,51
52,14,,0,52
53,44,,0,53
54,16,,0,54
55,10,,0,55
56,14,,0,56
57,24,,0,57
58,74,,0,58
59,10,,0,59
60,20,,0,60
61,32,,0,61
62,16,,0,62
63,18,,0,63
64,48,,0,64
65,38,,0,65
66,16,,0,66
67,20,,0,67
68,24,,0,68
69,16,0.0,0,69
70,52,,0,70
71,137,,0,71
72,26,,0,72
73,8,,0,73
74,8,,0,74
75,53,,0,75
76,25,,0,76
77,39,,0,77
78,47,,0,78
79,14,,0,79
80,22,,0,80
81,12,,0,81
82,16,,0,82
83,93,,0,83
84,78,,0,84
85,39,,0,85
86,24,,0,86
87,22,,0,87
88,10,,0,88
89,34,,0,89
90,20,,0,90
91,32,,0,91
92,64,,0,92
93,37,,0,93
94,49,,0,94
95,8,,0,95
96,26,,0,96
97,17,,0,97
98,20,,0,98
99,20,,0,99
100,39,,1,0
101,1625,,1,1
102,20,11.0,1,2
103,46,18.0,1,3
104,18,12.0,1,4
105,21,12.0,1,5
106,10,8.0,1,6
107,20,14.0,1,7
108,12,7.0,1,8
109,21,19.0,1,9
110,22,15.0,1,10
111,18,16.0,1,11
112,10,7.0,1,12
113,49,14.0,1,13
114,12,8.0,1,14
115,25,15.0,1,15
116,28,23.0,1,16
117,8,6.0,1,17
118,16,13.0,1,18
119,16,12.0,1,19
120,12,8.0,1,20
121,28,21.0,1,21
122,24,18.0,1,22
123,18,15.0,1,23
124,20,15.0,1,24
125,8,5.0,1,25
126,18,14.0,1,26
127,30,24.0,1,27
128,18,11.0,1,28
129,18,14.0,1,29
130,8,6.0,1,30
131,18,14.0,1,31
132,26,20.0,1,32
133,44,,1,33
134,20,14.0,1,34
135,20,15.0,1,35
136,20,16.0,1,36
137,20,15.0,1,37
138,65,17.0,1,38
139,20,17.0,1,39
140,8,6.0,1,40
141,12,7.0,1,41
142,24,14.0,1,42
143,18,9.0,1,43
144,14,12.0,1,44
145,16,13.0,1,45
146,30,24.0,1,46
147,18,10.0,1,47
148,20,14.0,1,48
149,26,15.0,1,49
150,10,7.0,1,50
151,15,10.0,1,51
152,16,13.0,1,52
153,26,19.0,1,53
154,16,7.0,1,54
155,26,15.0,1,55
156,14,6.0,1,56
157,18,8.0,1,57
158,8,5.0,1,58
159,12,9.0,1,59
160,28,20.0,1,60
161,26,18.0,1,61
162,27,19.0,1,62
163,38,29.0,1,63
164,28,21.0,1,64
165,29,15.0,1,65
166,10,6.0,1,66
167,30,20.0,1,67
168,14,11.0,1,68
169,16,9.0,1,69
170,12,7.0,1,70
171,24,,1,71
172,8,6.0,1,72
173,12,9.0,1,73
174,18,15.0,1,74
175,22,18.0,1,75
176,14,10.0,1,76
177,20,14.0,1,77
178,18,12.0,1,78
179,16,13.0,1,79
180,12,8.0,1,80
181,10,7.0,1,81
182,24,21.0,1,82
183,32,26.0,1,83
184,27,22.0,1,84
185,14,10.0,1,85
186,18,11.0,1,86
187,24,19.0,1,87
188,24,19.0,1,88
189,20,15.0,1,89
190,24,17.0,1,90
191,14,9.0,1,91
192,16,10.0,1,92
193,28,23.0,1,93
194,24,19.0,1,94
195,24,,1,95
196,26,,1,96
197,16,8.0,1,97
198,20,12.0,1,98
199,10,7.0,1,99
200,38,,2,0
201,16,,2,1
202,20,,2,2
203,26,,2,3
204,59,,2,4
205,43,,2,5
206,34,,2,6
207,30,,2,7
208,18,,2,8
209,38,,2,9
210,37,,2,10
211,39,,2,11
212,23,,2,12
213,12,,2,13
214,38,,2,14
215,24,,2,15
216,39,,2,16
