StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,att1,att2,mturk_id,completion_code,comp1,comp2,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,edu,edu_8_TEXT,game_exp_1,Random ID,workerId,Set a Value Now,finished_game
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Participation is voluntaryIt is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.

What is the purpose of this research?
The purpose of this research is to examine human visual performance and judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.

How long will I take part in this research?
Your participation will take approximately 60 minutes to complete.
What can I expect if I take part in this research?As a participant, you will be asked to play a game using key presses. You will also be asked to complete a demographics form at the end.

What are the risks and possible discomforts?
If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 60 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.

Will I be compensated for participating in this research?
You will be compensated $8 for this study. 
If I take part in this research, how will my privacy be protected? What happens to the information you collect?
Your participation in this experiment will remain confidential, and your identity will not be stored with your data.

If I have any questions, concerns or complaints about this research study, who can I talk to?
The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,• If you would like to talk to the research team,• If you think the research has harmed you, or• If you wish to withdraw from the study.

If you have any technical difficulties during the experiment, you can send an email to: auguralp@fas.harvard.edu

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:• If your questions, concerns, or complaints are not being answered by the research team,• If you cannot reach the research team,• If you want to talk to someone besides the research team, or• If you have questions about your rights as a research participant.","Before we begin, here are some checks to make sure you're paying attention.



John is taller than Paul. Who is shorter?","What is the color of grass?
The fresh, uncut grass. To make sure you are paying attention, we want you to select purple.","What is your MTURK ID?

Please note that this response should auto-fill with the correct ID",Important: Please enter the exact completion code you received at the end of the game.,How many red squares were present in the last level of the game you just played?,How many levels were there in the game?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please Specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,"How much experience do you have with playing computer games?
[1=None at all, 100=A lot] - 1",Random ID,workerId,Set a Value Now,finished_game
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID108""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID123_TEXT""}","{""ImportId"":""QID122_TEXT""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_4_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID103_6_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID106_8_TEXT""}","{""ImportId"":""QID107_1""}","{""ImportId"":""Random ID""}","{""ImportId"":""workerId""}","{""ImportId"":""Set a Value Now""}","{""ImportId"":""finished_game""}"
2023-04-28 08:00:01,2023-04-28 08:37:52,IP Address,96.232.44.34,100,2270,True,2023-04-28 08:37:53,R_3Q9mF0Q6yZTIy4h,,,,,40.7123,-73.7985,anonymous,EN,"I consent, begin the study",Paul,Purple,A1SN7EOZUW5VP3,6334-3934-3192-4896,Five,54,Male,,Black or African American,,44,Some College,,75,11201,A1SN7EOZUW5VP3,,yes
2023-04-28 07:58:20,2023-04-28 08:38:53,IP Address,71.71.214.155,100,2432,True,2023-04-28 08:38:54,R_1LkELMJfcju9vDC,,,,,35.2227,-80.7938,anonymous,EN,"I consent, begin the study",Paul,Purple,AIEKCWYZTS41V,8427-4352-8257-1297,Five,54,Male,,Black or African American,,37,Some College,,100,72504,AIEKCWYZTS41V,,yes
2023-04-28 08:02:33,2023-04-28 08:43:50,IP Address,96.57.65.98,100,2477,True,2023-04-28 08:43:51,R_3n8bawsWLcEsadP,,,,,40.7051,-73.243,anonymous,EN,"I consent, begin the study",Paul,Purple,A2V27A9GZA1NR2,3824-0897-0564-6348,Five,54,Male,,White or European,,41,Some College,,87,28128,A2V27A9GZA1NR2,,yes
2023-04-28 08:08:58,2023-04-28 08:52:34,IP Address,72.214.215.162,100,2616,True,2023-04-28 08:52:35,R_3gUgWn0JtstDxZl,,,,,33.338,-111.7435,anonymous,EN,"I consent, begin the study",Paul,Purple,A2ZW43854D67J7,9185-0081-9281-5380,Five,54,Male,,White or European,,33,College Graduate (4 year),,71,49451,A2ZW43854D67J7,,yes
2023-04-28 08:01:31,2023-04-28 09:14:22,IP Address,70.93.243.35,100,4370,True,2023-04-28 09:14:23,R_3Pt7gVO5staH6b3,,,,,33.9168,-118.3432,anonymous,EN,"I consent, begin the study",Paul,Purple,A12Q4BP1S02YWS," 9822-2140-2149-2554",Five,54,Female,,White or European,,56,Masters Degree (MS),,78,58152,A12Q4BP1S02YWS,,yes
2023-04-28 08:12:19,2023-04-28 09:14:41,IP Address,108.39.252.64,100,3742,True,2023-04-28 09:14:42,R_25HqHYgPCgJGMD9,,,,,40.4339,-79.9996,anonymous,EN,"I consent, begin the study",Paul,Purple,AIHHRINW9IN1I,1923-3422-8597-5769,Five,54,Female,,White or European,,39,Masters Degree (MS),,90,97458,AIHHRINW9IN1I,,yes
2023-04-28 07:56:29,2023-04-28 09:15:17,IP Address,99.13.217.125,100,4728,True,2023-04-28 09:15:18,R_2alPBrDXdg2CQPr,,,,,30.8648,-88.6503,anonymous,EN,"I consent, begin the study",Paul,Purple,A10HW8JXM17XLD,6890-9433-2376-7809,Five,54,Female,,White or European,,43,College Graduate (4 year),,75,10499,A10HW8JXM17XLD,,yes
2023-04-28 08:08:43,2023-04-28 09:41:16,IP Address,98.43.248.20,100,5552,True,2023-04-28 09:41:17,R_dbuwtWVWrhqTqvf,,,,,39.869,-104.9767,anonymous,EN,"I consent, begin the study",Paul,Purple,A1GGBLQXMJP6YU,0459-1930-3319-9490,Five,54,Female,,White or European,,28,"Professional Degree (MD, JD, etc.)",,87,23296,A1GGBLQXMJP6YU,,yes
