StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,att1,att2,mturk_id,completion_code,comp1,comp2,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,edu,edu_8_TEXT,game_exp_1,Random ID,workerId,Set a Value Now,finished_game
Start Date,End Date,Response Type,Anonymized,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Anonymized,Anonymized,Distribution Channel,User Language,"Participation is voluntary
It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human visual performance and judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.


How long will I take part in this research?

Your participation will take approximately 60 minutes to complete.


What can I expect if I take part in this research?
As a participant, you will be asked to play a game using key presses. You will also be asked to complete a demographics form at the end.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 60 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research?

You will be compensated $6 for this study.  

If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,
• If you would like to talk to the research team,
• If you think the research has harmed you, or
• If you wish to withdraw from the study.



If you have any technical difficulties during the experiment, you can send an email to: auguralp@fas.harvard.edu



This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:
• If your questions, concerns, or complaints are not being answered by the research team,
• If you cannot reach the research team,
• If you want to talk to someone besides the research team, or
• If you have questions about your rights as a research participant.","Before we begin, here are some checks to make sure you're paying attention.



John is taller than Paul. Who is shorter?","What is the color of grass?
The fresh, uncut grass. To make sure you are paying attention, we want you to select purple.",Anonymized,Important: Please enter the exact completion code you received at the end of the game.,How many red squares were present in the last level of the game you just played?,How many levels were there in the game?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please Specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,"How much experience do you have with playing computer games?
[1=None at all, 100=A lot] - 1",Random ID,Anonymized,Set a Value Now,finished_game
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",Anonymized,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",Anonymized,Anonymized,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID108""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}",Anonymized,"{""ImportId"":""QID122_TEXT""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_4_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID103_6_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID106_8_TEXT""}","{""ImportId"":""QID107_1""}","{""ImportId"":""Random ID""}",Anonymized,"{""ImportId"":""Set a Value Now""}","{""ImportId"":""finished_game""}"
2023-03-29 17:20:01,2023-03-29 18:09:01,0,Anonymized,100,2939,1,2023-03-29 18:09:02,R_3necaPiWxDSCMRX,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,0179-5961-6785-0954,2,3,1,,2,,41,4,,91,92772,Anonymized,,yes
2023-03-29 17:21:05,2023-03-29 18:18:07,0,Anonymized,100,3421,1,2023-03-29 18:18:07,R_1BRj5T9zZ0oneJS,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,6671-6774-3532-0788,2,3,1,,1,,39,3,,60,99871,Anonymized,,yes
2023-03-29 17:23:02,2023-03-29 18:18:58,0,Anonymized,100,3355,1,2023-03-29 18:18:59,R_A7IexDaWGw8WjgB,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,1454-1189-4420-4229,2,3,2,,3,,25,1,,57,66023,Anonymized,,yes
2023-03-29 17:25:58,2023-03-29 18:42:40,0,Anonymized,100,4602,1,2023-03-29 18:42:41,R_2P6CFqEWICMIFBw,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,3827-0435-1680-9439,2,3,2,,3,,30,5,,72,64505,Anonymized,,yes
2023-03-29 18:28:22,2023-03-29 19:12:32,0,Anonymized,100,2649,1,2023-03-29 19:12:33,R_SHQbhLF5nhDG1lD,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,1606-5375-3926-6129,2,3,1,,3,,55,3,,100,18088,Anonymized,,yes
2023-03-29 17:42:39,2023-03-29 19:18:45,0,Anonymized,100,5766,1,2023-03-29 19:18:46,R_UsShpnVWurk8nJv,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,4591-2466-5672-2356,2,3,2,,1,,30,4,,50,42894,Anonymized,,yes
2023-03-29 17:25:35,2023-03-29 19:20:17,0,Anonymized,100,6881,1,2023-03-29 19:20:17,R_8Ci1hTBEGRjaiLn,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,0466-1013-9380-6707,2,3,1,,3,,61,4,,30,92652,Anonymized,,yes
2023-03-29 18:37:58,2023-03-29 19:49:13,0,Anonymized,100,4274,1,2023-03-29 19:49:13,R_2ZNSyXvjt8Z78xs,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,6588-8147-7883-4382,2,3,3,,3,,53,4,,15,57194,Anonymized,,yes
