StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,att1,att2,mturk_id,completion_code,comp1,comp2,Q4,Q4_4_TEXT,Q5,Q5_6_TEXT,Q6,Q7,Q7_8_TEXT,Q8_1,Random ID,workerId,Set a Value Now,finished_game
Start Date,End Date,Response Type,Anonymized,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Anonymized,Anonymized,Distribution Channel,User Language,"Participation is voluntary
It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human visual performance and judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 15 minutes to complete.


What can I expect if I take part in this research?
As a participant, you will be asked to play a game using key presses. You will also be asked to complete a demographics form at the end.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research?

You will be compensated $1.5 for this study.  

If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,
• If you would like to talk to the research team,
• If you think the research has harmed you, or
• If you wish to withdraw from the study.



If you have any technical difficulties during the experiment, you can send an email to: auguralp@fas.harvard.edu



This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:
• If your questions, concerns, or complaints are not being answered by the research team,
• If you cannot reach the research team,
• If you want to talk to someone besides the research team, or
• If you have questions about your rights as a research participant.","Before we begin, here are some checks to make sure you're paying attention.



John is taller than Paul. Who is shorter?","What is the color of grass?

The fresh, uncut grass. To make sure you are paying attention, we want you to select purple.",Anonymized,Important: Please enter the exact completion code you received at the end of the game.,How many red squares were present in the last level of the game you just played?,How many levels were there in the game?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please Specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,"How much experience do you have with playing computer games?
[1=None at all, 100=A lot] - 1",Random ID,Anonymized,Set a Value Now,finished_game
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",Anonymized,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",Anonymized,Anonymized,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID108""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}",Anonymized,"{""ImportId"":""QID122_TEXT""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_4_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID103_6_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID106_8_TEXT""}","{""ImportId"":""QID107_1""}","{""ImportId"":""Random ID""}",Anonymized,"{""ImportId"":""Set a Value Now""}","{""ImportId"":""finished_game""}"
2023-01-21 13:00:33,2023-01-21 13:07:03,IP Address,Anonymized,100,390,True,2023-01-21 13:07:07,R_1FRt3sirFt4RIFY,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,6848-2193-5581-6993,Five,150,Male,,White or European,,22,High School or Equivalent,,90,79665,Anonymized,,yes
2023-01-21 13:00:45,2023-01-21 13:10:50,IP Address,Anonymized,100,604,True,2023-01-21 13:10:52,R_2EyGvXPJJsdLHk2,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,9282-1547-0834-2689,Five,150,Male,,White or European,,37,College Graduate (4 year),,56,38766,Anonymized,,yes
2023-01-21 13:02:07,2023-01-21 13:11:55,IP Address,Anonymized,100,588,True,2023-01-21 13:11:58,R_29hvUIKtDkg6nIM,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,9427-8084-5452-8858,Five,150,Female,,White or European,,37,College Graduate (4 year),,70,90024,Anonymized,,yes
2023-01-21 13:01:31,2023-01-21 13:12:00,IP Address,Anonymized,100,628,True,2023-01-21 13:12:04,R_4GzImjEpoHsawLf,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,7762-9348-9693-4274,Five,150,Female,,White or European,,37,Some College,,75,72078,Anonymized,,yes
2023-01-21 13:04:37,2023-01-21 13:12:34,IP Address,Anonymized,100,477,True,2023-01-21 13:12:42,R_25ZN4JGQUysp3DP,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,1690-8888-6098-1418,Five,150,Female,,White or European,,31,Some College,,90,32355,Anonymized,,yes
2023-01-21 13:00:00,2023-01-21 13:12:59,IP Address,Anonymized,100,779,True,2023-01-21 13:13:08,R_323J16O0xdAzLjy,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,2351-5181-4455-2908,Five,150,Male,,White or European,,52,Vocational/Technical School (2 year),,81,36666,Anonymized,,yes
2023-01-21 13:00:57,2023-01-21 13:17:10,IP Address,Anonymized,100,973,True,2023-01-21 13:17:11,R_ahFTo5uD0jZlGaB,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,7864-5327-2776-0673,Five,150,Male,,White or European,,65,College Graduate (4 year),,26,22510,Anonymized,,yes
2023-01-21 13:05:20,2023-01-21 13:17:38,IP Address,Anonymized,100,737,True,2023-01-21 13:17:45,R_2EzUwngcnFguciR,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized, 8873-8193-5355-3599,Five,150,Female,,White or European,,58,College Graduate (4 year),,51,47766,Anonymized,,yes
