StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,att1,att2,mturk_id,completion_code,comp1,comp2,Q4,Q4_4_TEXT,Q5,Q5_6_TEXT,Q6,Q7,Q7_8_TEXT,Q8_1,Random ID,workerId,Set a Value Now,finished_game
Start Date,End Date,Response Type,Anonymized,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Anonymized,Anonymized,Distribution Channel,User Language,"Participation is voluntary
It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human visual performance and judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 20 minutes to complete.


What can I expect if I take part in this research?
As a participant, you will be asked to play a game using key presses. You will also be asked to complete a demographics form at the end.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 20 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research?

You will be compensated $2 for this study.  

If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,
• If you would like to talk to the research team,
• If you think the research has harmed you, or
• If you wish to withdraw from the study.



If you have any technical difficulties during the experiment, you can send an email to: auguralp@fas.harvard.edu



This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:
• If your questions, concerns, or complaints are not being answered by the research team,
• If you cannot reach the research team,
• If you want to talk to someone besides the research team, or
• If you have questions about your rights as a research participant.","Before we begin, here are some checks to make sure you're paying attention.



John is taller than Paul. Who is shorter?","What is the color of grass?

The fresh, uncut grass. To make sure you are paying attention, we want you to select purple.",Anonymized,Important: Please enter the exact completion code you received at the end of the game.,How many red squares were present in the last level of the game you just played?,How many levels were there in the game?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please Specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,"How much experience do you have with playing computer games?
[1=None at all, 100=A lot] - 1",Random ID,Anonymized,Set a Value Now,finished_game
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}",Anonymized,"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}",Anonymized,Anonymized,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID108""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}",Anonymized,"{""ImportId"":""QID122_TEXT""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_4_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID103_6_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID106_8_TEXT""}","{""ImportId"":""QID107_1""}","{""ImportId"":""Random ID""}",Anonymized,"{""ImportId"":""Set a Value Now""}","{""ImportId"":""finished_game""}"
2023-01-20 04:25:40,2023-01-20 04:38:06,IP Address,Anonymized,100,745,True,2023-01-20 04:38:07,R_bqJNr45cTP0etFL,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,6543-7439-7399-7934,Five,150,Male,,White or European,,46,College Graduate (4 year),,56,84895,Anonymized,,yes
2023-01-20 04:25:55,2023-01-20 04:42:11,IP Address,Anonymized,100,975,True,2023-01-20 04:42:12,R_1opSCB8yMzUzvbG,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,4398-7797-2937-8288,Five,150,Male,,White or European,,52,Masters Degree (MS),,1,20735,Anonymized,,yes
2023-01-20 04:55:31,2023-01-20 05:06:32,IP Address,Anonymized,100,660,True,2023-01-20 05:06:32,R_3eqRuekTAoQj828,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,4723-5511-1265-9400,Five,150,Male,,White or European,,43,High School or Equivalent,,90,39529,Anonymized,,yes
2023-01-20 05:26:44,2023-01-20 05:38:34,IP Address,Anonymized,100,710,True,2023-01-20 05:38:35,R_10OCM12oBiSaojk,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,0090-2130-2336-0545,Five,150,Male,,White or European,,34,College Graduate (4 year),,85,89518,Anonymized,,yes
2023-01-20 05:36:00,2023-01-20 05:50:47,IP Address,Anonymized,100,887,True,2023-01-20 05:50:48,R_u9N0QiZTlbF9zlT,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,1120-2526-4810-2864,Five,150,Male,,White or European,,34,Vocational/Technical School (2 year),,59,77091,Anonymized,,yes
2023-01-20 05:27:24,2023-01-20 06:01:26,IP Address,Anonymized,100,2041,True,2023-01-20 06:01:27,R_2XbpVky40FHu8Sx,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,8655-3910-0665-1124,Five,150,Female,,Black or African American,,22,Masters Degree (MS),,80,94708,Anonymized,,yes
2023-01-20 06:06:36,2023-01-20 06:21:01,IP Address,Anonymized,100,865,True,2023-01-20 06:21:02,R_2qyLiGw4kNiGx0R,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,4035-0594-5995-9436,Five,150,Female,,White or European,,26,College Graduate (4 year),,51,75857,Anonymized,,yes
2023-01-20 08:02:25,2023-01-20 08:40:51,IP Address,Anonymized,100,2305,True,2023-01-20 08:40:52,R_2f9XkFKc3gASWNh,,,,,Anonymized,Anonymized,anonymous,EN,"I consent, begin the study",Paul,Purple,Anonymized,6621-1030-6951-6419,Five,150,Male,,White or European,,41,Some College,,51,48090,Anonymized,,yes
