StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,att1,att2,mturk_id,completion_code,comp1,comp2,Q4,Q4_4_TEXT,Q5,Q5_6_TEXT,Q6,Q7,Q7_8_TEXT,Q8_1,Random ID,workerId,Set a Value Now,finished_game
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Participation is voluntary
It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research?

The purpose of this research is to examine human visual performance and judgments. All data from this experiment are gathered for scientific purposes. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research?

Your participation will take approximately 40 minutes to complete.


What can I expect if I take part in this research?
As a participant, you will be asked to play a game using key presses. You will also be asked to complete a demographics form at the end.



What are the risks and possible discomforts?

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 40 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research?

You will be compensated $4 for this study.  

If I take part in this research, how will my privacy be protected? What happens to the information you collect?

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to?

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,
• If you would like to talk to the research team,
• If you think the research has harmed you, or
• If you wish to withdraw from the study.



If you have any technical difficulties during the experiment, you can send an email to: auguralp@fas.harvard.edu



This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:
• If your questions, concerns, or complaints are not being answered by the research team,
• If you cannot reach the research team,
• If you want to talk to someone besides the research team, or
• If you have questions about your rights as a research participant.","Before we begin, here are some checks to make sure you're paying attention.



John is taller than Paul. Who is shorter?","What is the color of grass?

The fresh, uncut grass. To make sure you are paying attention, we want you to select purple.","What is your MTURK ID?

Please note that this response should auto-fill with the correct ID",Important: Please enter the exact completion code you received at the end of the game.,How many red squares were present in each level of the game you just played?,How many levels were there in the game?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please Specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,"How much experience do you have with playing computer games?
[1=None at all, 100=A lot] - 1",Random ID,workerId,Set a Value Now,finished_game
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID108""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID123_TEXT""}","{""ImportId"":""QID122_TEXT""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_4_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID103_6_TEXT""}","{""ImportId"":""QID105_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID106_8_TEXT""}","{""ImportId"":""QID107_1""}","{""ImportId"":""Random ID""}","{""ImportId"":""workerId""}","{""ImportId"":""Set a Value Now""}","{""ImportId"":""finished_game""}"
2023-01-19 00:09:36,2023-01-19 00:26:44,IP Address,5.25.159.197,100,1027,True,2023-01-19 00:26:44,R_AGnpdaiFl59TzVL,,,,,39.9205,32.8372,anonymous,EN,"I consent, begin the study",Paul,Purple,A_WORKER_ID2,3395-4818-7764-3402,Four,100,Male,,White or European,,23,College Graduate (4 year),,82,44269,A_WORKER_ID,,yes
2023-01-19 00:08:55,2023-01-19 01:32:14,IP Address,5.25.159.197,100,4999,True,2023-01-19 01:32:15,R_2YD0R5s8dc2aWSU,,,,,39.9205,32.8372,anonymous,EN,"I consent, begin the study",Paul,Purple,1996," 0462-7946-7857-8012",Four,100,Female,,White or European,,6,College Graduate (4 year),,9,29491,,,yes
2023-01-19 05:06:12,2023-01-19 05:49:57,IP Address,172.58.5.175,100,2625,True,2023-01-19 05:49:58,R_42yVHGKpxRyCJvX,,,,,33.9395,-84.2008,anonymous,EN,"I consent, begin the study",Paul,Purple,A3DW6KSQPG6GVQ,6394-2448-8267-4694,Four,100,Female,,Mixed,,35,College Graduate (4 year),,91,91875,A3DW6KSQPG6GVQ,,yes
2023-01-19 05:35:15,2023-01-19 06:12:48,IP Address,71.80.205.190,100,2252,True,2023-01-19 06:12:48,R_2CkYLNKKmaG01uw,,,,,43.227,-123.5158,anonymous,EN,"I consent, begin the study",Paul,Purple,ABX5OQLR6UNBC,2141-0059-3204-7898,Four,100,Female,,White or European,,49,Some College,,70,15872,ABX5OQLR6UNBC,,yes
2023-01-19 05:43:17,2023-01-19 06:23:54,IP Address,71.237.25.97,100,2437,True,2023-01-19 06:23:55,R_3EYCicT0LdUO88M,,,,,39.7351,-105.0269,anonymous,EN,"I consent, begin the study",Paul,Purple,A1YZ0ETOCJO1B2,7885-0419-8742-1067,Four,100,Male,,Hispanic or Latino,,38,College Graduate (4 year),,67,32594,A1YZ0ETOCJO1B2,,yes
2023-01-19 05:20:20,2023-01-19 06:27:37,IP Address,65.215.43.163,100,4036,True,2023-01-19 06:27:38,R_2WNe4HDInDLGQRX,,,,,40.7961,-73.9513,anonymous,EN,"I consent, begin the study",Paul,Purple,A3KVIZLKSASAES,1694-5204-1997-9893,Four,100,Female,,White or European,,46,College Graduate (4 year),,78,38343,A3KVIZLKSASAES,,yes
2023-01-19 05:56:01,2023-01-19 06:35:18,IP Address,121.91.225.157,100,2357,True,2023-01-19 06:35:18,R_3PiZqTeRZjGTvXF,,,,,47.6859,-122.2994,anonymous,EN,"I consent, begin the study",Paul,Purple,A3VV07FCCSZ7JY,A3VV07FCCSZ7JY,Four,100,Male,,White or European,,49,Masters Degree (MS),,100,96637,A3VV07FCCSZ7JY,,no
2023-01-19 05:07:35,2023-01-19 06:37:07,IP Address,50.231.88.196,100,5371,True,2023-01-19 06:37:08,R_22lc1BG2KSNNkx4,,,,,40.7149,-73.9893,anonymous,EN,"I consent, begin the study",Paul,Purple,A22PT6K5XNIFLA,6795-0943-5141-3665,Four,100,Female,,Black or African American,,40,Masters Degree (MS),,100,81534,A22PT6K5XNIFLA,,yes
